first_name,last_name,email
Sagar,Shrestha,sagar.shrestha@example.com
Aayusha,Gurung,aayusha.gurung@example.com
Ramesh,Karki,ramesh.karki@example.com
Prakriti,Adhikari,prakriti.adhikari@example.com
Bikash,Thapa,bikash.thapa@example.com
Nisha,KC,nisha.kc@example.com
Dipesh,Rai,dipesh.rai@example.com
Sanjana,Maharjan,sanjana.maharjan@example.com
Roshan,Lama,roshan.lama@example.com
Puja,Poudel,puja.poudel@example.com
Kiran,Bhandari,kiran.bhandari@example.com
Asmita,Khadka,asmita.khadka@example.com
Suman,Dahal,suman.dahal@example.com
Anil,Basnet,anil.basnet@example.com
Rekha,Acharya,rekha.acharya@example.com
